County,Population
Alameda,1681700
Alpine,1199
Amador,40506
Butte,211216
Calaveras,45277
Colusa,21826
Contra Costa,1166669
Del Norte,27745
El Dorado,191282
Fresno,1008860
Glenn,28822
Humboldt,136514
Imperial,178537
Inyo,18977
Kern,907021
Kings,153085
Lake,68099
Lassen,32025
Los Angeles,10012474
Madera,156519
Marin,262410
Mariposa,17123
Mendocino,91602
Merced,280873
Modoc,8703
Mono,13185
Monterey,439008
Napa,138433
Nevada,102392
Orange,3184513
Placer,405308
Plumas,19666
Riverside,2421480
Sacramento,1585666
San Benito,64110
San Bernardino,2181983
San Diego,3303736
San Francisco,870985
San Joaquin,780676
San Luis Obispo,282996
San Mateo,763497
Santa Barbara,448659
Santa Clara,1933516
Santa Cruz,272360
Shasta,181881
Sierra,3233
Siskiyou,44091
Solano,453405
Sonoma,489880
Stanislaus,553995
Sutter,100751
Tehama,65643
Trinity,16135
Tulare,473482
Tuolumne,55500
Ventura,844545
Yolo,216544
Yuba,81468
