"County","Sector","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"ALAMEDA","Non-Residential","    7199.918113","    6925.652558","    6916.778587","    7882.111065","    7597.929941","    8064.826133","    7839.027917","    7314.082970","    7371.228678","    7597.603363","    7550.324307","    7926.453151","    7673.092470","    7316.103923","    8155.446566","    8745.368426","    8045.805586","    8029.370660","    7762.513529","    7651.897620","    7613.365033","    7443.365995","    7736.055471","    7766.058995","    7193.581963","    7823.244481","    7769.025061","    7309.930938","    6668.237122","    7260.776432","    6822.523242","    6809.573768","    7109.299895","  248890.573959"
"ALAMEDA","Residential","    3195.466282","    3199.260620","    3305.871703","    3010.402237","    2944.754452","    2991.113738","    2917.791561","    2893.812078","    2891.659740","    2985.032380","    2998.977641","    3023.685951","    3020.404214","    3015.756941","    2995.663532","    2971.594216","    3118.211648","    3025.225113","    2897.754342","    2937.018704","    2811.571345","    2745.204109","    2926.105041","    2890.767335","    2791.331173","    2674.834394","    2615.308775","    2548.457958","    2774.566317","    2529.229286","    2465.000074","    2515.209970","    2498.265626","   95125.308496"
"ALAMEDA","Total","   10395.384395","   10124.913178","   10222.650290","   10892.513302","   10542.684394","   11055.939871","   10756.819478","   10207.895048","   10262.888418","   10582.635742","   10549.301948","   10950.139101","   10693.496684","   10331.860864","   11151.110098","   11716.962642","   11164.017234","   11054.595774","   10660.267872","   10588.916324","   10424.936379","   10188.570104","   10662.160512","   10656.826330","    9984.913137","   10498.078875","   10384.333836","    9858.388895","    9442.803439","    9790.005719","    9287.523316","    9324.783738","    9607.565521","  344015.882458"
"ALPINE","Non-Residential","       7.849272","       7.878632","       8.281124","       8.834244","       9.295662","       9.026639","       8.124741","       4.354396","       4.008389","       4.752038","       4.590161","       5.199864","       5.203784","       5.234789","       9.368614","      10.685739","       9.377073","       9.132023","       9.431229","       5.112883","       4.671739","       5.081493","       5.159971","       4.617177","       4.832369","       4.468048","       4.384382","       4.296693","       4.382027","       4.485710","       4.224083","       3.906455","       3.581764","     203.833207"
"ALPINE","Residential","       9.597056","      10.072240","      10.250051","      10.307842","       9.599419","      10.060395","       9.347109","      11.907550","      12.027282","      13.472507","       9.339533","       9.123026","      12.471469","      13.046053","       8.916510","       9.336839","       9.543385","       8.097079","       9.002608","       6.358662","       6.721208","       6.858448","       6.247035","       6.597345","       6.792005","       6.373298","       6.063832","       6.231561","       6.183168","       6.812776","       5.808735","       6.165242","       6.036978","     284.768246"
"ALPINE","Total","      17.446328","      17.950872","      18.531175","      19.142086","      18.895080","      19.087034","      17.471850","      16.261946","      16.035672","      18.224544","      13.929694","      14.322890","      17.675253","      18.280841","      18.285124","      20.022577","      18.920459","      17.229102","      18.433837","      11.471545","      11.392946","      11.939940","      11.407006","      11.214522","      11.624374","      10.841346","      10.448214","      10.528255","      10.565195","      11.298486","      10.032819","      10.071697","       9.618742","     488.601451"
"AMADOR","Non-Residential","     197.616494","     202.639069","     194.991369","     175.982808","     163.133751","     169.615298","     173.880395","     152.103462","     155.928143","     170.516052","     180.430702","     169.589641","     175.356186","     183.671301","     187.806853","     179.824177","     165.108359","     160.652747","     165.129804","     142.213818","     135.648466","     184.203109","     234.808988","     210.300322","     202.301530","     202.236642","     215.584166","     250.567387","     240.483146","     243.300856","     229.513190","     229.794500","     210.889226","    6255.821957"
"AMADOR","Residential","     151.480585","     153.267904","     150.110436","     136.944614","     135.997098","     142.849046","     134.991282","     132.545210","     134.513529","     139.319651","     140.910645","     140.105259","     139.778073","     142.780381","     143.987195","     142.548308","     142.507651","     134.404073","     135.633939","     129.154833","     126.438783","     121.404776","     127.238094","     124.602037","     123.223191","     114.815322","     115.017917","     110.744724","     110.372675","     109.035503","     105.907059","     108.875556","     105.093388","    4306.598737"
"AMADOR","Total","     349.097079","     355.906973","     345.101805","     312.927422","     299.130849","     312.464344","     308.871678","     284.648672","     290.441672","     309.835703","     321.341347","     309.694900","     315.134258","     326.451683","     331.794048","     322.372485","     307.616010","     295.056820","     300.763743","     271.368651","     262.087249","     305.607886","     362.047082","     334.902359","     325.524721","     317.051964","     330.602083","     361.312111","     350.855821","     352.336359","     335.420249","     338.670056","     315.982614","   10562.420696"
"BUTTE","Non-Residential","     715.487325","     791.701933","     636.772661","     729.750049","     750.835547","     764.452962","     755.623978","     773.874551","     762.204239","     764.900680","     759.819694","     700.346790","     690.200059","     707.640106","     731.310253","     786.087489","     706.213072","     659.736364","     683.142462","     660.939740","     706.442105","     643.420371","     858.737526","     755.056133","     663.718453","     944.057618","     776.793460","     721.017567","     962.960481","     694.270068","     728.857099","     754.417745","     853.894130","   24594.682710"
